,Month,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Mean
0,02- (1st),0.288135593220339,0.6073298429319371,1.0,0.4146341463414634,0.5844155844155844,0.47368421052631576,0.5409836065573771,0.0,0.5737704918032787,0.660377358490566,0.675,0.6029411764705882,0.5913978494623656,0.5454545454545454,1.0,0.5705416270449573
1,03- (1st),0.288135593220339,0.15706806282722513,0.21428571428571427,0.4146341463414634,0.5844155844155844,0.3684210526315789,0.3770491803278688,0.6888888888888889,0.7540983606557377,0.6792452830188679,0.75,0.8235294117647058,0.6236559139784946,0.22727272727272727,0.0,0.46337999464194646
2,04- (1st),0.288135593220339,0.900523560209424,0.22448979591836735,0.4146341463414634,0.5844155844155844,0.543859649122807,0.8032786885245902,0.4666666666666667,0.5573770491803278,0.660377358490566,1.0,0.5588235294117647,0.6666666666666666,0.45454545454545453,0.24285714285714285,0.5577767257047442
3,05- (1st),0.288135593220339,0.6963350785340314,0.1836734693877551,0.4146341463414634,0.5844155844155844,0.2982456140350877,0.9180327868852459,0.28888888888888886,0.5901639344262295,0.41509433962264153,0.4,0.45588235294117646,0.7096774193548387,0.7954545454545454,0.2571428571428571,0.4863851073767124
4,06- (1st),0.288135593220339,0.25654450261780104,0.20918367346938777,0.4146341463414634,0.5844155844155844,0.6842105263157895,0.0,0.8,0.3770491803278688,0.6792452830188679,0.875,0.47058823529411764,0.7741935483870968,0.0,0.4142857142857143,0.4551657325129354
5,07- (1st),0.288135593220339,0.6020942408376964,0.24489795918367346,0.4146341463414634,1.0,0.3684210526315789,0.6065573770491803,0.28888888888888886,1.0,0.6792452830188679,0.8,0.6617647058823529,0.7634408602150538,0.5909090909090909,0.4142857142857143,0.5815516608309268
6,08- (1st),0.288135593220339,0.07853403141361257,0.2857142857142857,1.0,0.0,0.6842105263157895,0.5409836065573771,0.2222222222222222,0.4426229508196721,0.7169811320754716,0.525,0.6029411764705882,0.6451612903225806,0.7727272727272727,0.6,0.49368227252394736
7,09- (1st),0.288135593220339,0.4712041884816754,0.08673469387755102,0.23170731707317074,0.922077922077922,0.24561403508771928,0.9344262295081968,0.08888888888888889,0.4098360655737705,0.8490566037735849,0.725,0.7794117647058824,0.4731182795698925,0.1590909090909091,0.34285714285714286,0.4671439755857763
8,10- (1st),0.288135593220339,1.0,0.23979591836734693,0.0,0.4155844155844156,0.38596491228070173,0.3442622950819672,0.3111111111111111,0.4262295081967213,0.660377358490566,0.975,0.8235294117647058,0.5913978494623656,0.7954545454545454,0.32857142857142857,0.5056942898390809
9,11- (1st),0.288135593220339,0.4869109947643979,0.0,0.12195121951219512,0.5584415584415584,0.7192982456140351,0.39344262295081966,0.06666666666666667,0.5737704918032787,0.6415094339622641,0.725,0.5735294117647058,0.7311827956989247,0.5,0.34285714285714286,0.44817974515042186
10,12- (1st),0.288135593220339,0.2879581151832461,0.04591836734693878,0.14634146341463414,0.7662337662337663,0.43859649122807015,0.7868852459016393,0.6222222222222222,0.5245901639344263,0.8301886792452831,0.6,0.7794117647058824,0.6236559139784946,0.4318181818181818,0.35714285714285715,0.5019399217050654
11,01- (2nd),0.559322033898305,0.4031413612565445,0.20408163265306123,0.4268292682926829,0.7922077922077922,0.2631578947368421,0.5245901639344263,0.13333333333333333,0.8688524590163934,0.7169811320754716,0.925,0.6617647058823529,0.46236559139784944,0.6363636363636364,0.37142857142857144,0.5299613050984842
12,02- (2nd),0.0847457627118644,0.6701570680628273,0.27040816326530615,0.4146341463414634,0.4675324675324675,0.45614035087719296,0.4918032786885246,0.6222222222222222,0.639344262295082,0.6415094339622641,0.475,0.38235294117647056,1.0,0.5454545454545454,0.3142857142857143,0.49837269045839633
13,03- (2nd),0.6271186440677966,0.4607329842931937,0.29081632653061223,0.2926829268292683,0.7272727272727273,0.6666666666666666,0.6229508196721312,0.26666666666666666,0.36065573770491804,1.0,0.525,0.39705882352941174,0.0,0.5,0.45714285714285713,0.47965101202508337
14,04- (2nd),0.288135593220339,0.4712041884816754,0.25,0.4634146341463415,0.6103896103896104,0.6140350877192983,0.6885245901639344,0.6222222222222222,0.7377049180327869,0.7547169811320755,0.55,1.0,0.7526881720430108,0.3181818181818182,0.6142857142857143,0.5823669020012551
15,05- (2nd),0.23728813559322035,0.643979057591623,0.20918367346938777,0.2073170731707317,0.6363636363636364,0.49122807017543857,0.5573770491803278,0.2222222222222222,0.5081967213114754,0.8301886792452831,0.575,0.4117647058823529,0.9032258064516129,0.6363636363636364,0.4714285714285714,0.5027418025633014
