,Month,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Mean
0,02- (1st),0.1263537906137184,0.0,0.676923076923077,0.0,0.5516014234875445,1.0,0.45,1.0,0.4625,0.9074074074074074,0.2631578947368421,0.5555555555555556,0.6352941176470588,0.1702127659574468,0.5517241379310345,0.4900486780173124
1,03- (1st),0.1263537906137184,0.8447488584474886,0.5846153846153846,0.17560975609756097,1.0,0.0,0.75,0.0,0.4125,0.9259259259259259,0.42105263157894735,0.0,0.8117647058823529,0.1276595744680851,0.7241379310344828,0.46029123724426313
2,04- (1st),1.0,0.9452054794520548,0.23076923076923078,0.37073170731707317,0.0,0.6447876447876448,0.25,0.42857142857142855,0.475,0.6481481481481481,0.0,0.4444444444444444,0.6941176470588235,0.5957446808510638,0.4482758620689655,0.47838641823125844
3,05- (1st),0.061371841155234655,0.8356164383561644,0.5538461538461539,1.0,0.6334519572953736,0.6525096525096525,0.4,0.45714285714285713,0.5625,1.0,0.47368421052631576,0.5277777777777778,0.8352941176470589,0.0,0.6551724137931034,0.5765578280033129
4,06- (1st),0.11191335740072202,0.8356164383561644,0.27692307692307694,0.18048780487804877,0.5587188612099644,0.6486486486486487,1.0,0.3142857142857143,0.3125,0.7592592592592593,0.10526315789473684,0.6944444444444444,0.8117647058823529,1.0,0.6551724137931034,0.5509998588650825
5,07- (1st),0.1444043321299639,0.7945205479452054,0.6153846153846154,0.13170731707317074,0.5409252669039146,0.5675675675675675,0.775,0.45714285714285713,0.5,0.8333333333333334,0.3157894736842105,0.5,0.7529411764705882,0.5531914893617021,0.3793103448275862,0.524081221454981
6,08- (1st),0.10830324909747292,0.9497716894977168,0.38461538461538464,0.2048780487804878,0.5373665480427047,0.5598455598455598,0.45,0.5142857142857142,0.3625,0.7222222222222222,0.631578947368421,0.5,0.7058823529411765,0.2553191489361702,0.3103448275862069,0.4797942462146159
7,09- (1st),0.1552346570397112,0.776255707762557,1.0,0.25365853658536586,0.5409252669039146,0.6216216216216216,0.45,0.7142857142857143,0.3625,0.7592592592592593,0.3684210526315789,0.4444444444444444,0.7294117647058823,0.14893617021276595,0.6551724137931034,0.5320084406163945
8,10- (1st),0.27075812274368233,1.0,0.6461538461538462,0.36585365853658536,0.604982206405694,0.6602316602316602,0.75,0.7142857142857143,0.35,0.7962962962962963,0.5263157894736842,0.4722222222222222,0.7764705882352941,0.6382978723404256,0.4482758620689655,0.6013429225996048
9,11- (1st),0.06498194945848375,0.7168949771689498,0.24615384615384617,0.16097560975609757,0.5516014234875445,0.6177606177606177,0.4,0.5142857142857142,0.475,0.7777777777777778,0.3684210526315789,0.4722222222222222,0.8117647058823529,0.44680851063829785,0.41379310344827586,0.4692294340447839
10,12- (1st),0.1299638989169675,0.8904109589041096,0.38461538461538464,0.17073170731707318,0.5302491103202847,0.61003861003861,0.3,0.45714285714285713,0.45,0.7407407407407407,0.3684210526315789,0.4444444444444444,0.8235294117647058,0.2978723404255319,0.41379310344827586,0.46746357471403766
11,01- (2nd),0.12274368231046931,0.9315068493150684,0.4307692307692308,0.08292682926829269,0.5551601423487544,0.6023166023166023,0.625,0.6285714285714286,0.35,0.7592592592592593,0.47368421052631576,0.5555555555555556,0.7294117647058823,0.2765957446808511,0.1724137931034483,0.48639433951541056
12,02- (2nd),0.1552346570397112,0.91324200913242,0.5230769230769231,0.15609756097560976,0.5587188612099644,0.6023166023166023,0.475,0.3142857142857143,0.3875,0.7222222222222222,0.05263157894736842,0.16666666666666666,0.6235294117647059,0.46808510638297873,0.10344827586206896,0.4148037059921972
13,03- (2nd),0.10830324909747292,0.863013698630137,0.13846153846153847,0.1902439024390244,0.5907473309608541,0.6023166023166023,0.65,0.3142857142857143,0.45,0.7222222222222222,0.2631578947368421,0.6666666666666666,1.0,0.44680851063829785,0.5517241379310345,0.5038634312257605
14,04- (2nd),0.16606498194945848,0.7671232876712328,0.26153846153846155,0.2097560975609756,0.5444839857651246,0.5675675675675675,0.25,0.11428571428571428,0.35,0.6481481481481481,0.42105263157894735,0.6111111111111112,0.8588235294117647,0.3617021276595745,0.20689655172413793,0.4225702797314812
15,05- (2nd),0.11552346570397112,0.7899543378995434,0.5230769230769231,0.2,0.5124555160142349,0.6138996138996139,0.675,0.5142857142857142,0.525,0.9444444444444444,0.10526315789473684,0.2777777777777778,0.7294117647058823,0.5106382978723404,1.0,0.5357820675716789
16,06- (2nd),0.17328519855595667,0.6255707762557078,0.8615384615384616,0.1902439024390244,0.5622775800711743,0.6756756756756757,0.675,0.9428571428571428,0.0,0.3888888888888889,0.631578947368421,1.0,0.7176470588235294,0.6382978723404256,0.41379310344827586,0.5664436405508456
17,07- (2nd),0.0,0.9497716894977168,0.0,0.14634146341463414,0.20284697508896798,0.4517374517374517,0.0,0.02857142857142857,1.0,0.0,1.0,0.75,0.0,0.9787234042553191,0.0,0.36719949417103454
