Date,Open,High,Low,Close
2023-09-21 14:30:00,198.6,198.6,198.575,198.575
2023-09-21 15:00:00,198.275,198.275,198.275,198.275
2023-09-21 15:30:00,198.4,198.425,198.225,198.225
2023-09-21 16:00:00,198.325,198.325,198.325,198.325
2023-09-21 17:00:00,197.925,197.925,197.925,197.925
2023-09-21 17:30:00,197.8,197.925,197.8,197.925
2023-09-22 13:30:00,198.2,198.2,197.8,198.175
2023-09-22 14:00:00,198.1,198.125,198.1,198.125
2023-09-22 15:00:00,198.225,198.225,198.15,198.15
2023-09-22 15:30:00,198.4,198.5,198.375,198.375
2023-09-22 16:00:00,198.3,198.5,198.2,198.5
2023-09-22 17:00:00,198.675,198.7,198.6,198.7
2023-09-22 17:30:00,199.15,199.15,199.15,199.15
2023-09-25 13:30:00,198.775,198.775,198.775,198.775
2023-09-25 14:30:00,198.65,198.65,198.5,198.6
2023-09-25 15:30:00,198.775,198.825,198.5,198.5
2023-09-25 16:00:00,198.95,198.95,198.95,198.95
2023-09-25 16:30:00,198.725,198.725,198.725,198.725
2023-09-25 17:00:00,198.9,198.9,198.9,198.9
2023-09-25 17:30:00,198.575,198.9,198.55,198.9
2023-09-26 13:30:00,198.6,198.6,198.4,198.4
2023-09-26 14:00:00,198.4,198.4,198.2,198.2
2023-09-26 14:30:00,198.275,198.275,198.1,198.1
2023-09-26 15:30:00,198.0,198.0,198.0,198.0
2023-09-26 16:00:00,198.0,198.0,197.8,197.8
2023-09-26 16:30:00,198.2,198.2,198.2,198.2
2023-09-26 17:30:00,198.075,198.1,198.025,198.05
2023-09-27 13:30:00,198.0,198.2,197.9,197.9
2023-09-27 14:00:00,197.9,197.9,197.8,197.8
2023-09-27 14:30:00,197.8,197.8,197.575,197.575
2023-09-27 15:00:00,197.5,197.5,197.0,197.0
2023-09-27 15:30:00,196.95,197.2,196.9,197.2
2023-09-27 16:00:00,196.875,197.0,196.875,197.0
2023-09-27 16:30:00,197.05,197.05,197.05,197.05
2023-09-27 17:00:00,196.825,196.825,196.825,196.825
2023-09-27 17:30:00,197.0,197.0,197.0,197.0
2023-09-27 18:00:00,197.0,197.0,197.0,197.0
2023-09-28 13:30:00,197.075,197.075,197.0,197.0
2023-09-28 14:00:00,197.0,197.25,197.0,197.2
2023-09-28 14:30:00,197.2,197.425,197.2,197.425
2023-09-28 15:00:00,198.0,198.2,198.0,198.2
2023-09-28 15:30:00,198.3,199.0,198.3,199.0
2023-09-28 16:30:00,198.55,198.9,198.525,198.75
2023-09-28 17:00:00,198.5,198.5,198.1,198.1
2023-09-28 17:30:00,198.0,198.125,198.0,198.1
2023-09-28 18:00:00,198.1,198.1,198.0,198.0
2023-09-29 13:30:00,198.1,198.1,198.1,198.1
2023-09-29 14:00:00,197.2,197.2,196.8,196.95
2023-09-29 14:30:00,196.8,196.8,196.8,196.8
2023-09-29 15:00:00,196.425,196.425,196.425,196.425
2023-09-29 17:00:00,196.9,196.9,196.6,196.6
2023-09-29 17:30:00,196.6,196.6,196.0,196.0
2023-09-29 18:00:00,196.475,196.475,196.025,196.025
2023-10-02 14:00:00,197.05,197.1,197.025,197.1
2023-10-02 14:30:00,197.4,197.4,197.075,197.175
2023-10-02 15:30:00,197.125,197.225,197.1,197.1
2023-10-02 16:00:00,197.0,197.0,197.0,197.0
2023-10-02 17:00:00,196.6,196.7,196.6,196.7
2023-10-02 17:30:00,196.75,196.75,196.5,196.5
2023-10-03 13:30:00,195.6,195.775,195.5,195.775
2023-10-03 14:00:00,195.5,196.075,195.5,195.65
2023-10-03 14:30:00,195.6,196.075,195.5,196.0
2023-10-03 15:00:00,195.5,195.5,194.675,194.675
