"Timestamp.2025","2025","Timestamp.2024","2024","Timestamp.2023","2023","Timestamp.2022","2022","Timestamp.2021","2021","Timestamp.2020","2020","Timestamp.2019","2019","Timestamp.2018","2018","Timestamp.2017","2017","Timestamp.2016","2016","Timestamp.2015","2015","Timestamp.2014","2014","Timestamp.2013","2013","Timestamp.2012","2012","Timestamp.2011","2011","Timestamp.2010","2010","Timestamp.2009","2009","Timestamp.2008","2008","Timestamp.2007","2007","Timestamp.2006","2006"
2023-09-01,31,"2022-09-01","68.5","2021-09-01","39.5","2020-09-01","2.5","2019-09-01",NA,"2018-09-01",NA,"2017-09-01","2.75","2016-09-01","-2.5","2015-09-01","4","2014-09-01","5.25","2013-09-01",NA,"2012-09-01",NA,"2011-09-01","60.75","2010-09-01","23.75","2009-09-01","1","2008-09-01","20","2007-09-01",NA,"2006-09-01","-4.75","2005-09-01",NA,"2004-09-01",NA
2023-09-02,NA,"2022-09-02","65.75","2021-09-02","39.5","2020-09-02","2.25","2019-09-02","3.75","2018-09-02",NA,"2017-09-02",NA,"2016-09-02","-1.75","2015-09-02","4.5","2014-09-02","5.25","2013-09-02","19.25","2012-09-02",NA,"2011-09-02","65.5","2010-09-02","24.25","2009-09-02","-1","2008-09-02","20","2007-09-02",NA,"2006-09-02",NA,"2005-09-02",NA,"2004-09-02",NA
2023-09-03,NA,"2022-09-03",NA,"2021-09-03","39.25","2020-09-03","2.25","2019-09-03","3.75","2018-09-03","0.5","2017-09-03",NA,"2016-09-03",NA,"2015-09-03","4","2014-09-03","3","2013-09-03","19.25","2012-09-03","65.25","2011-09-03",NA,"2010-09-03","22","2009-09-03","3.25","2008-09-03","19.75","2007-09-03",NA,"2006-09-03",NA,"2005-09-03",NA,"2004-09-03",NA
2023-09-04,NA,"2022-09-04",NA,"2021-09-04",NA,"2020-09-04","2.25","2019-09-04","4.5","2018-09-04","0.5","2017-09-04","4","2016-09-04",NA,"2015-09-04","3.75","2014-09-04","2.75","2013-09-04","9","2012-09-04","65.25","2011-09-04",NA,"2010-09-04",NA,"2009-09-04","5.25","2008-09-04","19","2007-09-04",NA,"2006-09-04","-4.75","2005-09-04",NA,"2004-09-04",NA
2023-09-05,32.75,"2022-09-05",NA,"2021-09-05",NA,"2020-09-05",NA,"2019-09-05","4","2018-09-05","0.5","2017-09-05","4","2016-09-05","-3.75","2015-09-05",NA,"2014-09-05","3","2013-09-05","17.75","2012-09-05","65","2011-09-05","67.5","2010-09-05",NA,"2009-09-05",NA,"2008-09-05","19.5","2007-09-05",NA,"2006-09-05","-4.75","2005-09-05",NA,"2004-09-05",NA
2023-09-06,33,"2022-09-06","67.25","2021-09-06","37.5","2020-09-06",NA,"2019-09-06","3.75","2018-09-06","0.25","2017-09-06","4.75","2016-09-06","-3.75","2015-09-06",NA,"2014-09-06",NA,"2013-09-06","16.5","2012-09-06","70.75","2011-09-06","67.5","2010-09-06","21.5","2009-09-06",NA,"2008-09-06",NA,"2007-09-06",NA,"2006-09-06","-5.75","2005-09-06",NA,"2004-09-06",NA
2023-09-07,32.5,"2022-09-07","65.25","2021-09-07","37.5","2020-09-07",NA,"2019-09-07",NA,"2018-09-07","-0.5","2017-09-07","3.25","2016-09-07","-2","2015-09-07","5.25","2014-09-07",NA,"2013-09-07",NA,"2012-09-07","72","2011-09-07","67.5","2010-09-07","21.5","2009-09-07","4","2008-09-07",NA,"2007-09-07",NA,"2006-09-07","-6","2005-09-07",NA,"2004-09-07",NA
2023-09-08,34.25,"2022-09-08","67.5","2021-09-08","39","2020-09-08","3.75","2019-09-08",NA,"2018-09-08",NA,"2017-09-08","2.5","2016-09-08","-1","2015-09-08","5.25","2014-09-08","3.75","2013-09-08",NA,"2012-09-08",NA,"2011-09-08","65","2010-09-08","21.25","2009-09-08","4","2008-09-08","13","2007-09-08",NA,"2006-09-08","-3.5","2005-09-08",NA,"2004-09-08",NA
2023-09-09,NA,"2022-09-09","68.25","2021-09-09","36.5","2020-09-09","3.25","2019-09-09","3.75","2018-09-09",NA,"2017-09-09",NA,"2016-09-09","-1.75","2015-09-09","5.5","2014-09-09","2.75","2013-09-09","20","2012-09-09",NA,"2011-09-09","65.5","2010-09-09","19.75","2009-09-09","3.75","2008-09-09","15","2007-09-09",NA,"2006-09-09",NA,"2005-09-09",NA,"2004-09-09",NA
2023-09-10,NA,"2022-09-10",NA,"2021-09-10","42.25","2020-09-10","5.75","2019-09-10","5","2018-09-10","-0.25","2017-09-10",NA,"2016-09-10",NA,"2015-09-10","5","2014-09-10","3.5","2013-09-10","14.5","2012-09-10","68.25","2011-09-10",NA,"2010-09-10","17.5","2009-09-10","3","2008-09-10","19","2007-09-10",NA,"2006-09-10",NA,"2005-09-10",NA,"2004-09-10",NA
2023-09-11,34.75,"2022-09-11",NA,"2021-09-11",NA,"2020-09-11","7","2019-09-11","5.5","2018-09-11","0","2017-09-11","3.25","2016-09-11",NA,"2015-09-11","7.75","2014-09-11","1.25","2013-09-11","14.25","2012-09-11","65.5","2011-09-11",NA,"2010-09-11",NA,"2009-09-11","2.25","2008-09-11","21","2007-09-11",NA,"2006-09-11","-3.5","2005-09-11",NA,"2004-09-11",NA
2023-09-12,34.25,"2022-09-12","69.75","2021-09-12",NA,"2020-09-12",NA,"2019-09-12","7.75","2018-09-12","-1.5","2017-09-12","2.25","2016-09-12","-2","2015-09-12",NA,"2014-09-12","-1.25","2013-09-12","13.5","2012-09-12","64.75","2011-09-12","72","2010-09-12",NA,"2009-09-12",NA,"2008-09-12","19","2007-09-12",NA,"2006-09-12","-3.75","2005-09-12",NA,"2004-09-12",NA
2023-09-13,34.25,"2022-09-13","69.75","2021-09-13","41.75","2020-09-13",NA,"2019-09-13","8","2018-09-13","-1.25","2017-09-13","1.5","2016-09-13","-3.25","2015-09-13",NA,"2014-09-13",NA,"2013-09-13","11.25","2012-09-13","65","2011-09-13","67.5","2010-09-13","15.75","2009-09-13",NA,"2008-09-13",NA,"2007-09-13","9","2006-09-13","-3.5","2005-09-13",NA,"2004-09-13",NA
2023-09-14,33.75,"2022-09-14","67.75","2021-09-14","40.75","2020-09-14","7.25","2019-09-14",NA,"2018-09-14","-0.75","2017-09-14","1.75","2016-09-14","-2.75","2015-09-14","13","2014-09-14",NA,"2013-09-14",NA,"2012-09-14","70.25","2011-09-14","70.75","2010-09-14","17.75","2009-09-14","3.5","2008-09-14",NA,"2007-09-14","8.5","2006-09-14","-2.75","2005-09-14",NA,"2004-09-14",NA
