Date,Open,High,Low,Close
2023-09-07,-2.275,-2.05,-2.275,-2.225
2023-09-08,-2.25,-2.025,-2.25,-2.025
2023-09-11,-2.075,-2.0,-2.075,-2.0
2023-09-12,-2.0,-2.0,-2.1,-2.1
2023-09-13,-2.025,-2.025,-2.1,-2.075
2023-09-14,-2.05,-2.0,-2.1,-2.025
2023-09-15,-2.0,-2.0,-2.125,-2.075
2023-09-18,-2.125,-2.075,-2.3,-2.3
2023-09-19,-2.075,-2.075,-2.575,-2.575
2023-09-20,-2.3,-2.175,-2.325,-2.175
2023-09-21,-2.15,-2.15,-2.35,-2.175
2023-09-22,-2.275,-2.125,-2.3,-2.15
2023-09-25,-2.175,-2.175,-2.325,-2.325
2023-09-26,-2.45,-2.4,-2.8,-2.675
2023-09-27,-2.6,-2.6,-2.9,-2.675
2023-09-28,-2.75,-2.3,-2.75,-2.5
2023-09-29,-2.35,-2.25,-2.575,-2.3
2023-10-02,-2.25,-2.15,-2.35,-2.35
2023-10-03,-2.4,-2.4,-2.7,-2.45
2023-10-04,-2.3,-2.225,-2.5,-2.3
2023-10-05,-2.35,-2.25,-2.625,-2.25
2023-10-06,-2.225,-2.225,-2.65,-2.55
2023-10-09,-2.55,-2.4,-2.675,-2.575
2023-10-10,-2.525,-2.475,-2.725,-2.65
2023-10-11,-2.725,-2.725,-2.925,-2.825
2023-10-12,-2.8,-2.8,-3.0,-3.0
2023-10-13,-2.95,-2.75,-3.0,-2.75
2023-10-16,-2.9,-2.775,-3.0,-2.9
2023-10-17,-2.95,-2.875,-3.2,-3.1
2023-10-18,-3.175,-3.175,-3.35,-3.35
2023-10-19,-3.275,-3.275,-3.65,-3.425
2023-10-20,-3.4,-3.075,-3.4,-3.1
2023-10-23,-3.15,-3.0,-3.5,-3.35
2023-10-24,-3.425,-3.225,-3.525,-3.25
2023-10-25,-3.225,-3.125,-3.325,-3.125
2023-10-26,-3.125,-3.0,-3.175,-3.025
2023-10-27,-3.0,-2.5,-3.1,-2.625
2023-10-30,-2.675,-2.55,-2.775,-2.725
2023-10-31,-2.575,-2.4,-2.8,-2.7
2023-11-01,-2.675,-2.55,-2.85,-2.65
2023-11-02,-2.575,-2.5,-3.0,-2.65
2023-11-03,-2.6,-2.6,-2.825,-2.675
2023-11-06,-2.8,-2.7,-2.9,-2.775
2023-11-07,-2.725,-2.65,-2.9,-2.85
2023-11-08,-2.725,-2.575,-2.95,-2.7
2023-11-09,-2.7,-2.65,-2.975,-2.75
2023-11-10,-2.7,-2.675,-2.95,-2.825
2023-11-13,-2.775,-2.7,-2.925,-2.8
2023-11-14,-2.825,-2.675,-2.9,-2.7
2023-11-15,-2.75,-2.625,-2.875,-2.825
2023-11-16,-2.875,-2.85,-3.2,-3.1
2023-11-17,-3.15,-2.975,-3.175,-3.1
2023-11-20,-3.05,-2.875,-3.15,-3.0
2023-11-21,-2.925,-2.825,-2.975,-2.9
2023-11-22,-2.975,-2.8,-3.0,-2.9
2023-11-24,-2.9,-2.875,-3.1,-3.0
2023-11-27,-2.925,-2.85,-3.15,-3.1
2023-11-28,-2.95,-2.825,-3.1,-2.9
2023-11-29,-2.975,-2.8,-2.975,-2.825
2023-11-30,-2.9,-2.6,-2.9,-2.825
2023-12-01,-2.825,-2.625,-2.925,-2.725
