Date,Open,High,Low,Close
9/17/2024 18:00,179.825,179.925,179.775,179.875
9/17/2024 17:00,179.875,180.075,179.75,179.85
9/17/2024 16:00,179.6,180.05,179.375,179.925
9/17/2024 15:00,180,180.5,179.475,179.65
9/17/2024 14:00,178.9,180,178.6,180
9/17/2024 13:00,178.65,179.1,178.25,178.9
9/16/2024 18:00,178.375,178.525,178.375,178.475
9/16/2024 17:00,178.35,178.625,178.3,178.35
9/16/2024 16:00,178.375,178.55,178.2,178.35
9/16/2024 15:00,178.575,178.775,178.2,178.4
9/16/2024 14:00,179.25,179.325,177.75,178.625
9/16/2024 13:00,178.9,179.375,178.625,179.3
9/13/2024 18:00,178.425,178.55,178.225,178.425
9/13/2024 17:00,178.85,178.975,178.375,178.4
9/13/2024 16:00,178.675,178.925,177.825,178.8
9/13/2024 15:00,179.15,179.2,178.55,178.7
9/13/2024 14:00,178.9,179.225,178.225,179.175
9/13/2024 13:00,178.525,179.425,178.525,178.9
9/12/2024 18:00,178.6,178.75,178.55,178.65
9/12/2024 17:00,178.65,179.1,178.475,178.625
9/12/2024 16:00,178.375,178.675,178.25,178.625
9/12/2024 15:00,178.775,179.025,178.1,178.325
9/12/2024 14:00,178.125,179,178.1,178.8
9/12/2024 13:00,177.45,178.45,177.45,178.075
9/11/2024 18:00,177.175,177.25,177.15,177.2
9/11/2024 17:00,176.425,177.575,176.425,177.2
9/11/2024 16:00,176.2,176.6,175.75,176.45
9/11/2024 15:00,176.125,176.675,175.95,176.225
9/11/2024 14:00,176.525,176.8,175.725,176.125
9/11/2024 13:00,176.4,176.9,176.125,176.55
9/10/2024 18:00,176.35,176.425,176.25,176.375
9/10/2024 17:00,176.5,176.825,176.3,176.35
9/10/2024 16:00,176.325,176.9,176.025,176.475
9/10/2024 15:00,176.75,177.4,175.925,176.35
9/10/2024 14:00,176.775,176.9,176.15,176.725
9/10/2024 13:00,176.8,177.575,176.65,176.775
9/9/2024 18:00,176.8,176.925,176.675,176.925
9/9/2024 17:00,176.75,177.45,176.7,176.75
9/9/2024 16:00,176.15,176.925,175.975,176.75
9/9/2024 15:00,174.15,176.575,173.5,176.175
9/9/2024 14:00,174.625,175.475,173.925,174.15
9/9/2024 13:00,175,175.55,174.25,174.65
9/6/2024 18:00,174.7,174.9,174.7,174.8
9/6/2024 17:00,174.95,175.75,174.525,174.7
9/6/2024 16:00,175.1,175.9,174.8,174.95
9/6/2024 15:00,176.125,176.375,174.7,175.1
9/6/2024 14:00,177.15,177.5,175.65,176.075
9/6/2024 13:00,176.7,177.25,176.575,177.225
9/5/2024 15:00,177.75,177.8,176.55,176.975
9/5/2024 14:00,177.85,178.25,177.575,177.725
9/5/2024 13:00,178.5,178.7,177.675,177.825
9/4/2024 18:00,178.925,178.95,178.725,178.9
9/4/2024 17:00,179.025,179.15,178.7,178.925
9/4/2024 16:00,179.175,179.25,178.825,179
9/4/2024 15:00,178.7,179.375,178.7,179.175
9/4/2024 14:00,178.55,178.925,178.45,178.675
9/4/2024 13:00,178.925,179.5,178.175,178.6
9/3/2024 18:00,178.9,179.025,178.825,179
9/3/2024 17:00,178.8,178.9,178.425,178.9
9/3/2024 16:00,179,179.25,178.65,178.75
9/3/2024 15:00,178.05,179.025,177.75,179
9/3/2024 14:00,178.65,179,177.85,178.05
9/3/2024 13:00,177.55,178.75,177.35,178.7
8/30/2024 18:00,177.5,177.675,177.5,177.525
8/30/2024 17:00,177.925,177.975,177.35,177.525
8/30/2024 16:00,177.55,178.5,177.55,177.95
8/30/2024 15:00,177.4,177.975,177.325,177.6
8/30/2024 14:00,177.425,177.65,176.775,177.4
8/30/2024 13:00,176.7,178.125,176.7,177.45
8/29/2024 18:00,176.675,176.675,176.45,176.55
8/29/2024 17:00,176.35,176.775,176.25,176.7
8/29/2024 16:00,176.325,176.5,176.2,176.375
8/29/2024 15:00,176.825,176.95,175.925,176.4
8/29/2024 14:00,176.875,177,176.35,176.825
8/29/2024 13:00,177.5,177.5,176.75,176.875
8/28/2024 18:00,177.75,177.875,177.725,177.8
8/28/2024 17:00,177.9,178.125,177.625,177.775
8/28/2024 16:00,178.025,178.4,177.825,177.925
8/28/2024 15:00,178.65,178.85,177.9,178.05
8/28/2024 14:00,177.675,179.025,177.5,178.65
8/28/2024 13:00,178.35,178.525,177.25,177.65
8/27/2024 18:00,178.7,178.725,178.375,178.4
8/27/2024 17:00,178.825,178.975,178.325,178.75
8/27/2024 16:00,178.375,179.125,178.25,178.85
8/27/2024 15:00,178.325,178.5,178.175,178.4
8/27/2024 14:00,177.5,178.45,177.25,178.275
8/27/2024 13:00,176.1,177.575,176.1,177.525
