Timestamp (UTC),Open,High,Low,Close
2023-07-05 13:30:00,185.100,185.100,185.100,185.100
2023-07-05 16:45:00,185.200,185.200,185.200,185.200
2023-07-05 17:30:00,184.850,184.850,184.500,184.500
2023-07-05 17:45:00,184.100,184.100,184.100,184.100
2023-07-06 15:15:00,183.100,183.100,183.100,183.100
2023-07-06 16:15:00,183.000,183.000,183.000,183.000
2023-07-07 14:00:00,183.525,183.525,183.500,183.500
2023-07-07 14:15:00,184.000,184.000,184.000,184.000
2023-07-07 14:30:00,183.900,183.900,183.800,183.800
2023-07-07 16:00:00,184.325,184.325,184.325,184.325
2023-07-07 16:15:00,184.150,184.600,184.150,184.600
2023-07-07 17:45:00,184.100,184.100,184.100,184.100
2023-07-10 15:00:00,184.250,184.250,184.250,184.250
2023-07-10 15:15:00,184.250,184.250,184.250,184.250
2023-07-10 17:15:00,184.000,184.000,184.000,184.000
2023-07-10 17:45:00,184.250,184.250,184.250,184.250
2023-07-11 14:45:00,184.600,184.950,184.600,184.950
2023-07-12 13:30:00,184.950,184.950,184.950,184.950
2023-07-12 13:45:00,184.950,184.950,184.950,184.950
2023-07-12 14:15:00,184.000,184.000,184.000,184.000
2023-07-12 15:30:00,184.950,184.950,184.950,184.950
2023-07-12 16:00:00,184.950,184.950,184.900,184.950
2023-07-12 16:15:00,184.950,184.950,184.950,184.950
2023-07-12 16:30:00,184.375,184.950,184.375,184.950
2023-07-12 16:45:00,184.000,184.000,184.000,184.000
2023-07-12 17:30:00,183.475,183.600,183.450,183.450
2023-07-12 17:45:00,183.425,183.425,183.425,183.425
2023-07-12 18:00:00,183.450,183.450,183.450,183.450
2023-07-13 14:15:00,183.000,183.000,183.000,183.000
2023-07-13 14:30:00,183.125,183.125,182.950,182.950
2023-07-13 14:45:00,183.000,183.150,182.950,182.950
2023-07-13 15:00:00,183.025,183.025,183.000,183.000
2023-07-13 15:15:00,183.000,183.000,182.950,182.950
2023-07-13 15:30:00,182.900,182.950,182.900,182.950
2023-07-13 15:45:00,183.050,183.050,183.050,183.050
2023-07-13 16:45:00,182.950,182.950,182.950,182.950
2023-07-13 17:30:00,183.200,183.200,182.975,182.975
2023-07-13 17:45:00,183.050,183.050,183.000,183.050
2023-07-13 18:00:00,183.050,183.050,182.950,182.950
2023-07-14 13:30:00,183.150,183.400,183.100,183.150
2023-07-14 13:45:00,183.150,183.400,183.150,183.250
2023-07-14 14:00:00,183.350,183.425,183.350,183.425
2023-07-14 14:15:00,183.000,183.100,183.000,183.100
2023-07-14 14:30:00,183.150,183.150,183.050,183.050
2023-07-14 14:45:00,183.150,183.225,183.150,183.150
2023-07-14 15:00:00,183.000,183.125,183.000,183.125
2023-07-14 15:15:00,183.125,183.125,183.100,183.100
2023-07-14 15:30:00,183.150,183.150,183.150,183.150
2023-07-14 15:45:00,183.150,183.450,183.150,183.250
2023-07-14 16:00:00,183.300,183.575,183.300,183.550
2023-07-14 16:15:00,183.625,183.700,183.600,183.650
2023-07-14 16:30:00,183.525,183.525,183.500,183.500
2023-07-14 16:45:00,183.500,183.775,183.500,183.600
2023-07-14 17:00:00,183.600,183.600,183.600,183.600
2023-07-14 17:15:00,183.600,183.600,183.600,183.600
2023-07-14 17:30:00,183.600,183.850,183.600,183.850
2023-07-14 17:45:00,183.900,184.200,183.900,184.200
2023-07-17 14:45:00,184.550,184.550,184.550,184.550
2023-07-17 15:00:00,184.650,184.925,184.650,184.925
2023-07-17 15:15:00,184.925,184.950,184.925,184.950
2023-07-17 15:45:00,184.775,184.775,184.775,184.775
2023-07-17 16:00:00,184.675,184.675,184.675,184.675
2023-07-17 16:15:00,184.500,184.550,184.500,184.550
2023-07-17 17:15:00,184.950,184.950,184.925,184.950
2023-07-17 17:30:00,184.875,184.950,184.825,184.950
2023-07-17 17:45:00,184.950,184.950,184.950,184.950
2023-07-17 18:00:00,184.825,184.925,184.825,184.925
2023-07-18 13:30:00,184.925,184.950,184.925,184.925
