Date,Open,High,Low,Close
9/17/2024 18:00,181,181.05,180.925,181
9/17/2024 17:00,180.85,181.075,180.8,181.05
9/17/2024 16:00,180.6,181.025,180.45,180.95
9/17/2024 15:00,180.85,181.25,180.45,180.625
9/17/2024 14:00,180.2,180.875,179.825,180.825
9/17/2024 13:00,179.775,180.325,179.45,180.2
9/16/2024 18:00,179.5,179.6,179.45,179.575
9/16/2024 17:00,179.375,179.675,179.325,179.475
9/16/2024 16:00,179.425,179.55,179.225,179.4
9/16/2024 15:00,179.65,179.775,179.225,179.425
9/16/2024 14:00,180.325,180.35,178.825,179.625
9/16/2024 13:00,180.05,180.375,179.8,180.275
9/13/2024 18:00,179.475,179.625,179.4,179.525
9/13/2024 17:00,179.8,180.05,179.475,179.475
9/13/2024 16:00,179.725,179.825,178.85,179.725
9/13/2024 15:00,180.175,180.175,179.6,179.725
9/13/2024 14:00,179.975,180.25,179.35,180.175
9/13/2024 13:00,180.1,180.525,179.725,180
9/12/2024 18:00,179.625,179.75,179.55,179.65
9/12/2024 17:00,179.55,180.075,179.45,179.6
9/12/2024 16:00,179.25,179.55,179.125,179.55
9/12/2024 15:00,179.7,179.925,179,179.225
9/12/2024 14:00,179.025,179.9,179.025,179.7
9/12/2024 13:00,178.4,179.25,178.375,179
9/11/2024 18:00,178.25,178.35,178.225,178.225
9/11/2024 17:00,177.525,178.7,177.525,178.25
9/11/2024 16:00,177.225,177.7,176.825,177.55
9/11/2024 15:00,177.1,177.7,176.95,177.275
9/11/2024 14:00,177.525,177.775,176.7,177.125
9/11/2024 13:00,177.5,177.95,177.225,177.55
9/10/2024 18:00,177.425,177.55,177.325,177.525
9/10/2024 17:00,177.625,177.975,177.35,177.4
9/10/2024 16:00,177.4,178,177.125,177.625
9/10/2024 15:00,177.85,178.45,177.05,177.4
9/10/2024 14:00,177.725,177.925,177.15,177.8
9/10/2024 13:00,177.75,178.55,177.575,177.75
9/9/2024 18:00,177.725,177.85,177.7,177.85
9/9/2024 17:00,177.55,178.3,177.5,177.75
9/9/2024 16:00,176.975,177.7,176.775,177.55
9/9/2024 15:00,174.975,177.375,174.3,176.975
9/9/2024 14:00,175.35,176.2,174.725,175.025
9/9/2024 13:00,175.725,176.225,175,175.425
9/6/2024 18:00,175.4,175.625,175.4,175.575
9/6/2024 17:00,175.55,176.35,175.225,175.425
9/6/2024 16:00,175.8,176.525,175.45,175.5
