Date,Open,High,Low,Close
2024-01-02,182.025,182.025,182.025,182.025
2024-01-03,182.0,182.1,181.5,182.0
2024-01-04,181.6,182.0,181.6,182.0
2024-01-05,181.65,182.1,180.55,180.55
2024-01-08,181.0,181.4,180.0,181.0
2024-01-09,180.525,181.1,180.05,180.05
2024-01-10,180.5,180.8,179.95,179.95
2024-01-11,180.1,180.1,180.1,180.1
2024-01-12,180.7,181.0,180.075,180.575
2024-01-16,181.0,181.1,180.775,181.0
2024-01-17,181.075,181.15,180.525,181.05
2024-01-18,181.5,182.5,181.35,182.5
2024-01-19,182.125,182.725,182.125,182.4
2024-01-22,181.9,183.0,181.9,183.0
2024-01-23,183.225,183.5,183.075,183.475
2024-01-24,183.0,184.1,183.0,184.1
2024-01-25,183.5,185.0,183.375,184.75
2024-01-26,184.9,185.525,184.85,185.425
2024-01-29,184.95,186.025,184.75,184.925
2024-01-30,184.5,186.05,184.5,185.75
2024-01-31,185.5,185.9,185.35,185.6
2024-02-01,185.9,187.65,185.825,187.6
2024-02-02,187.625,188.125,187.55,187.95
2024-02-05,187.775,187.775,186.45,186.6
2024-02-06,186.8,188.45,186.8,188.025
2024-02-07,187.975,188.55,187.5,187.9
2024-02-08,188.45,188.825,187.65,187.8
2024-02-09,188.0,188.55,187.375,188.45
2024-02-12,188.075,189.0,187.95,188.15
2024-02-13,188.05,188.1,187.65,187.775
2024-02-14,185.6,186.3,185.4,185.65
2024-02-15,185.425,185.425,185.225,185.4
2024-02-16,186.75,187.225,186.625,187.225
2024-02-20,187.175,188.1,187.0,187.75
2024-02-21,187.8,189.25,187.8,188.625
2024-02-22,188.825,188.95,187.375,187.625
2024-02-23,187.0,188.85,186.475,188.575
2024-02-26,187.0,188.7,187.0,188.6
2024-02-27,189.0,189.0,188.25,188.35
2024-02-28,188.0,188.0,187.35,187.45
2024-02-29,187.35,187.775,186.7,187.225
2024-03-01,187.75,188.525,187.75,188.525
2024-03-04,187.875,188.325,187.6,187.825
2024-03-05,188.475,188.65,187.85,188.65
2024-03-06,188.275,188.5,187.65,188.125
2024-03-07,188.1,189.1,188.1,189.1
2024-03-08,189.375,189.95,188.5,188.75
2024-03-11,188.075,189.0,187.9,189.0
2024-03-12,188.6,189.85,188.6,189.4
2024-03-13,188.925,190.775,188.9,190.775
2024-03-14,190.775,190.975,188.4,188.675
2024-03-15,188.625,189.525,188.35,188.675
2024-03-18,189.475,190.05,189.275,189.75
2024-03-19,190.0,190.45,189.475,190.45
2024-03-20,190.125,190.275,189.675,190.025
2024-03-21,190.1,190.1,189.2,189.6
2024-03-22,188.85,188.9,187.1,187.7
2024-03-25,186.6,188.125,186.55,186.9
2024-03-26,185.725,185.775,182.75,184.025
2024-03-27,184.0,184.325,183.35,184.325
2024-03-28,184.225,185.675,184.225,185.675
2024-04-01,184.325,186.1,180.0,180.75
2024-04-02,180.3,182.3,180.125,181.35
2024-04-03,180.6,181.5,179.35,180.675
2024-04-04,180.625,181.925,180.6,181.85
2024-04-05,181.525,181.525,178.425,179.175
2024-04-08,179.125,179.8,178.5,179.5
2024-04-09,179.975,180.825,179.85,180.5
2024-04-10,180.325,181.025,178.575,179.375
2024-04-11,178.7,179.975,178.1,179.675
2024-04-12,179.75,180.0,176.325,177.325
2024-04-15,177.375,179.45,177.375,179.025
2024-04-16,178.75,180.6,178.75,180.375
2024-04-17,180.05,180.75,179.8,180.675
2024-04-18,180.35,181.45,180.35,181.175
2024-04-19,180.95,181.375,180.675,181.3
2024-04-22,181.825,184.0,181.825,183.5
2024-04-23,183.7,184.95,183.175,184.825
