Date,Open,High,Low,Close
9/17/2024 18:00,182.375,182.375,182.275,182.325
9/17/2024 17:55,182.325,182.45,182.275,182.425
9/17/2024 17:50,182.275,182.35,182.275,182.3
9/17/2024 17:45,182.325,182.375,182.225,182.25
9/17/2024 17:40,182.325,182.35,182.275,182.325
9/17/2024 17:35,182.35,182.4,182.35,182.35
9/17/2024 17:30,182.325,182.35,182.325,182.35
9/17/2024 17:25,182.4,182.4,182.275,182.3
9/17/2024 17:20,182.325,182.4,182.3,182.4
9/17/2024 17:15,182.375,182.375,182.3,182.3
9/17/2024 17:10,182.375,182.375,182.275,182.325
9/17/2024 17:05,182.425,182.425,182.35,182.4
9/17/2024 17:00,182.275,182.425,182.225,182.4
9/17/2024 16:55,182.35,182.425,182.3,182.3
9/17/2024 16:50,182.25,182.375,182.225,182.35
9/17/2024 16:45,182.35,182.375,182.3,182.325
9/17/2024 16:40,182.325,182.4,182.3,182.325
9/17/2024 16:35,182.2,182.325,182.15,182.325
9/17/2024 16:30,182.125,182.2,182.1,182.2
9/17/2024 16:20,182.125,182.125,182.075,182.1
9/17/2024 16:15,182.025,182.15,182.025,182.1
9/17/2024 16:10,181.975,182.05,181.95,182.025
9/17/2024 16:05,182.125,182.125,182.075,182.075
9/17/2024 16:00,182,182.075,182,182.075
9/17/2024 15:55,182,182.05,182,182.05
9/17/2024 15:50,182,182,181.925,181.975
9/17/2024 15:45,182.075,182.1,181.95,182
9/17/2024 15:40,182.175,182.175,182.05,182.05
9/17/2024 15:35,182.25,182.3,182.15,182.15
9/17/2024 15:30,182.275,182.325,182.2,182.2
9/17/2024 15:25,182.3,182.325,182.225,182.3
9/17/2024 15:20,182.3,182.4,182.3,182.375
9/17/2024 15:15,182.075,182.5,182.05,182.3
9/17/2024 15:10,182.1,182.1,182.05,182.075
9/17/2024 15:05,182.05,182.1,182.05,182.05
9/17/2024 15:00,182.125,182.225,182.1,182.1
9/17/2024 14:55,182.025,182.1,182,182.1
9/17/2024 14:50,181.975,182.075,181.925,182.025
9/17/2024 14:45,182.2,182.25,182.05,182.05
9/17/2024 14:40,182.15,182.225,182.1,182.175
9/17/2024 14:35,182.075,182.175,182.05,182.125
9/17/2024 14:30,182.15,182.15,182,182.05
9/17/2024 14:25,182.05,182.125,181.825,182.125
9/17/2024 14:20,182.025,182.175,182.025,182.1
9/17/2024 14:15,181.85,182.175,181.8,182
9/17/2024 14:10,181.875,181.925,181.775,181.825
9/17/2024 14:05,181.6,181.85,181.6,181.85
9/17/2024 14:00,181.825,181.825,181.45,181.55
9/17/2024 13:55,181.825,181.9,181.75,181.825
9/17/2024 13:50,181.725,181.925,181.675,181.9
9/17/2024 13:45,181.75,181.9,181.675,181.775
9/17/2024 13:40,181.35,181.75,181.35,181.725
9/17/2024 13:35,181.325,181.325,181.15,181.275
9/17/2024 13:30,181.3,181.45,181.125,181.325
9/16/2024 18:00,181.125,181.25,181.1,181.15
9/16/2024 17:55,181.2,181.2,181.05,181.075
9/16/2024 17:50,181.125,181.3,181.125,181.225
9/16/2024 17:45,181.1,181.175,181.025,181.15
9/16/2024 17:40,181.15,181.175,181.125,181.125
9/16/2024 17:35,181.15,181.15,181.075,181.15
9/16/2024 17:30,181.1,181.15,181.05,181.125
9/16/2024 17:25,181.15,181.15,181.125,181.15
9/16/2024 17:20,181.05,181.05,181.05,181.05
9/16/2024 17:15,181,181.05,180.975,181.05
9/16/2024 17:10,180.975,181,180.95,181
9/16/2024 17:05,180.95,180.975,180.925,180.975
9/16/2024 17:00,180.95,180.975,180.925,180.975
9/16/2024 16:55,181.025,181.05,180.95,181.025
9/16/2024 16:50,180.925,181,180.925,181
9/16/2024 16:45,180.925,180.95,180.85,180.85
9/16/2024 16:40,181,181,180.95,180.95
9/16/2024 16:35,181.075,181.075,181.025,181.025
9/16/2024 16:30,180.975,181,180.95,181
9/16/2024 16:25,180.925,181.1,180.9,181.1
9/16/2024 16:20,180.975,181.025,180.95,181
9/16/2024 16:15,181.1,181.1,180.875,180.95
9/16/2024 16:10,181.075,181.125,181.075,181.125
9/16/2024 16:05,181.05,181.125,181.05,181.125
9/16/2024 16:00,181.05,181.175,181.025,181.075
9/16/2024 15:55,180.975,181.025,180.95,180.975
9/16/2024 15:50,181.025,181.025,180.975,181
9/16/2024 15:45,180.875,181.05,180.875,181.05
9/16/2024 15:40,180.975,181,180.875,180.925
9/16/2024 15:35,181.025,181.05,180.85,181
9/16/2024 15:30,181.175,181.175,181.1,181.1
9/16/2024 15:25,181.1,181.1,181,181.05
9/16/2024 15:20,181.15,181.275,181.1,181.125
9/16/2024 15:15,181.175,181.275,181.175,181.225
9/16/2024 15:10,181.325,181.325,181.225,181.25
9/16/2024 15:05,181.375,181.375,181.225,181.35
9/16/2024 15:00,181.325,181.425,181.275,181.425
9/16/2024 14:55,181.175,181.325,181.15,181.3
9/16/2024 14:50,181,181.2,180.95,181.175
9/16/2024 14:45,180.85,180.85,180.8,180.8
9/16/2024 14:40,180.975,181.025,180.95,181.025
9/16/2024 14:35,180.825,180.825,180.825,180.825
9/16/2024 14:30,180.7,180.9,180.7,180.875
9/16/2024 14:25,180.75,180.8,180.55,180.8
9/16/2024 14:20,181.125,181.125,180.75,180.775
9/16/2024 14:15,181.2,181.25,181.1,181.125
9/16/2024 14:10,181.225,181.25,181.15,181.25
9/16/2024 14:05,181.35,181.45,181.2,181.225
9/16/2024 14:00,181.925,181.95,181.3,181.3
9/16/2024 13:55,181.7,181.975,181.675,181.875
9/16/2024 13:50,181.7,181.75,181.55,181.7
9/16/2024 13:45,181.975,181.975,181.7,181.7
9/16/2024 13:40,181.625,182.025,181.525,182.025
9/16/2024 13:35,181.7,181.775,181.625,181.65
9/16/2024 13:30,181.6,181.95,181.5,181.775
9/13/2024 18:00,181.175,181.275,181.025,181.2
9/13/2024 17:55,181.5,181.525,181.15,181.15
9/13/2024 17:50,181.5,181.525,181.45,181.475
9/13/2024 17:45,181.475,181.6,181.45,181.45
9/13/2024 17:40,181.425,181.5,181.425,181.5
9/13/2024 17:35,181.375,181.475,181.375,181.475
9/13/2024 17:30,181.375,181.475,181.35,181.4
9/13/2024 17:25,181.275,181.3,181.275,181.275
9/13/2024 17:20,181.3,181.3,181.175,181.225
9/13/2024 17:15,181.3,181.325,181.225,181.25
9/13/2024 17:10,181.275,181.3,181.25,181.25
9/13/2024 17:05,181.35,181.35,181.225,181.225
9/13/2024 17:00,181.3,181.375,181.275,181.375
9/13/2024 16:55,181.075,181.325,181.075,181.25
9/13/2024 16:50,180.875,181.025,180.875,181.025
9/13/2024 16:45,180.85,180.975,180.85,180.85
9/13/2024 16:40,180.75,180.875,180.75,180.875
9/13/2024 16:35,180.8,180.8,180.7,180.75
9/13/2024 16:30,180.725,180.775,180.675,180.775
9/13/2024 16:25,180.825,180.875,180.75,180.75
9/13/2024 16:20,180.75,180.875,180.55,180.825
9/13/2024 16:15,181.2,181.2,180.625,180.75
9/13/2024 16:10,181.35,181.35,181.225,181.275
9/13/2024 16:05,181.175,181.375,181.175,181.375
9/13/2024 16:00,181.275,181.275,181.125,181.15
9/13/2024 15:55,181.35,181.35,181.2,181.275
9/13/2024 15:50,181.2,181.325,181.175,181.3
9/13/2024 15:45,181.4,181.4,181.225,181.25
9/13/2024 15:40,181.375,181.375,181.35,181.375
9/13/2024 15:35,181.375,181.4,181.3,181.3
9/13/2024 15:30,181.35,181.425,181.35,181.425
9/13/2024 15:25,181.3,181.35,181.225,181.35
9/13/2024 15:20,181.35,181.35,181.125,181.25
9/13/2024 15:15,181.4,181.475,181.35,181.4
9/13/2024 15:10,181.525,181.525,181.35,181.475
9/13/2024 15:05,181.65,181.65,181.475,181.475
9/13/2024 15:00,181.7,181.7,181.6,181.6
9/13/2024 14:55,181.675,181.7,181.6,181.7
9/13/2024 14:50,181.575,181.725,181.55,181.7
9/13/2024 14:45,181.65,181.675,181.525,181.6
9/13/2024 14:40,181.65,181.75,181.55,181.65
9/13/2024 14:35,181.5,181.65,181.5,181.625
9/13/2024 14:30,181.5,181.6,181.475,181.6
9/13/2024 14:25,181.725,181.825,181.55,181.575
9/13/2024 14:20,181.725,181.725,181.5,181.7
9/13/2024 14:15,181.55,181.725,181.475,181.7
