Date,Open,High,Low,Close
2024-09-27,-2.8,-2.7,-2.8,-2.7
2024-09-26,-2.8,-2.6,-2.9,-2.8
2024-09-25,-2.8,-2.6,-2.9,-2.7
2024-09-24,-2.9,-2.6,-3.0,-2.8
2024-09-23,-3.1,-2.7,-3.1,-3.0
2024-09-20,-3.2,-3.0,-3.3,-3.0
2024-09-19,-3.3,-3.0,-3.3,-3.1
2024-09-18,-3.2,-3.1,-3.4,-3.2
2024-09-17,-3.2,-3.2,-3.3,-3.2
2024-09-16,-3.3,-3.2,-3.4,-3.2
2024-09-13,-3.0,-3.0,-3.4,-3.3
2024-09-12,-3.3,-2.9,-3.3,-3.1
2024-09-11,-3.2,-3.1,-3.4,-3.2
2024-09-10,-3.0,-3.0,-3.3,-3.1
2024-09-09,-2.9,-2.8,-3.0,-2.9
2024-09-06,-2.8,-2.6,-3.0,-2.9
2024-09-05,-2.9,-2.8,-3.2,-2.9
2024-09-04,-2.9,-2.7,-3.1,-2.9
2024-09-03,-3.0,-2.9,-3.2,-3.0
2024-08-30,-2.9,-2.8,-3.4,-3.0
2024-08-29,-3.1,-2.7,-3.1,-2.8
2024-08-28,-3.0,-2.9,-3.2,-3.1
2024-08-27,-3.3,-2.8,-3.3,-3.0
2024-08-26,-3.5,-3.1,-3.6,-3.2
2024-08-23,-3.6,-3.3,-3.8,-3.4
2024-08-22,-3.5,-3.5,-3.7,-3.7
2024-08-21,-3.6,-3.4,-3.6,-3.5
2024-08-20,-3.6,-3.4,-3.7,-3.5
2024-08-19,-3.9,-3.5,-3.9,-3.5
2024-08-16,-3.8,-3.8,-4.0,-4.0
2024-08-15,-3.9,-3.6,-4.0,-3.7
2024-08-14,-4.1,-3.8,-4.2,-3.9
2024-08-13,-3.6,-3.6,-4.2,-4.1
2024-08-12,-3.0,-2.7,-3.7,-3.7
2024-08-09,-2.6,-2.6,-3.1,-2.9
2024-08-08,-2.7,-2.6,-2.9,-2.7
2024-08-07,-2.3,-2.3,-2.8,-2.7
2024-08-06,-2.5,-2.2,-2.6,-2.4
2024-08-05,-2.8,-2.4,-2.8,-2.4
2024-08-02,-2.9,-2.7,-2.9,-2.7
2024-08-01,-3.0,-2.9,-3.1,-3.1
2024-07-31,-2.9,-2.8,-3.2,-3.0
2024-07-30,-2.9,-2.8,-3.1,-2.9
2024-07-29,-3.3,-2.8,-3.4,-2.9
2024-07-26,-3.0,-3.0,-3.3,-3.3
2024-07-25,-3.2,-2.9,-3.3,-3.0
2024-07-24,-3.3,-3.0,-3.4,-3.3
2024-07-23,-3.5,-3.2,-3.5,-3.4
2024-07-22,-3.5,-3.2,-3.5,-3.4
2024-07-19,-3.3,-3.1,-3.6,-3.5
2024-07-18,-3.4,-3.2,-3.5,-3.3
2024-07-17,-3.4,-3.3,-3.7,-3.4
2024-07-16,-3.4,-3.3,-3.6,-3.4
2024-07-15,-3.5,-3.3,-3.6,-3.4
2024-07-12,-3.3,-3.1,-3.6,-3.6
2024-07-11,-3.5,-3.2,-3.5,-3.4
2024-07-10,-3.2,-3.1,-3.6,-3.5
2024-07-09,-3.0,-3.0,-3.3,-3.3
2024-07-08,-2.4,-2.3,-3.2,-3.2
2024-07-05,-2.8,-2.3,-2.8,-2.3
2024-07-03,-2.7,-2.6,-2.8,-2.8
2024-07-02,-2.8,-2.6,-2.9,-2.6
2024-07-01,-2.8,-2.7,-2.9,-2.8
2024-06-28,-2.1,-1.9,-2.9,-2.8
2024-06-27,-2.2,-1.9,-2.2,-2.0
2024-06-26,-1.8,-1.8,-2.3,-2.2
2024-06-25,-2.1,-1.7,-2.3,-2.0
2024-06-24,-2.1,-1.9,-2.6,-2.1
2024-06-21,-2.3,-1.9,-2.4,-2.1
2024-06-20,-1.5,-1.5,-2.5,-2.4
2024-06-18,-1.6,-1.5,-1.7,-1.6
2024-06-17,-1.3,-1.2,-1.8,-1.7
2024-06-14,-1.1,-0.9,-1.4,-1.3
2024-06-13,-1.3,-0.9,-1.4,-1.1
2024-06-12,-1.5,-1.3,-1.7,-1.4
2024-06-11,-1.2,-1.2,-1.6,-1.6
2024-06-10,-1.3,-1.0,-1.4,-1.2
2024-06-07,-1.3,-1.3,-1.5,-1.4
2024-06-06,-1.1,-1.0,-1.3,-1.3
2024-06-05,-1.4,-1.1,-1.6,-1.5
2024-06-04,-1.0,-1.0,-1.5,-1.5
2024-06-03,-1.1,-0.9,-1.2,-1.1
