"Timestamp.2025","2025","Timestamp.2024","2024","Timestamp.2023","2023","Timestamp.2022","2022","Timestamp.2021","2021","Timestamp.2020","2020","Timestamp.2019","2019","Timestamp.2018","2018","Timestamp.2017","2017","Timestamp.2016","2016","Timestamp.2015","2015","Timestamp.2014","2014","Timestamp.2013","2013","Timestamp.2012","2012","Timestamp.2011","2011","Timestamp.2010","2010","Timestamp.2009","2009","Timestamp.2008","2008","Timestamp.2007","2007","Timestamp.2006","2006"
2023-08-26,NA,"2022-08-26",NA,"2021-08-26","60.25","2020-08-26","6.75","2019-08-26","-1.5","2018-08-26",NA,"2017-08-26",NA,"2016-08-26","8","2015-08-26","0","2014-08-26","21.25","2013-08-26","-5.25","2012-08-26",NA,"2011-08-26",NA,"2010-08-26","-16","2009-08-26",NA,"2008-08-26","-6","2007-08-26",NA,"2006-08-26",NA,"2005-08-26","0","2004-08-26","0"
2023-08-27,NA,"2022-08-27",NA,"2021-08-27","60.25","2020-08-27","12","2019-08-27","-1.5","2018-08-27","0.5","2017-08-27",NA,"2016-08-27",NA,"2015-08-27","0","2014-08-27","20","2013-08-27","-5.25","2012-08-27",NA,"2011-08-27",NA,"2010-08-27","2.5","2009-08-27",NA,"2008-08-27","3","2007-08-27","13","2006-08-27",NA,"2005-08-27",NA,"2004-08-27","0"
2023-08-28,NA,"2022-08-28",NA,"2021-08-28",NA,"2020-08-28","12","2019-08-28","-1.5","2018-08-28","0","2017-08-28","0","2016-08-28",NA,"2015-08-28","0","2014-08-28","20","2013-08-28","-5.25","2012-08-28",NA,"2011-08-28",NA,"2010-08-28",NA,"2009-08-28",NA,"2008-08-28","-3.75","2007-08-28","19","2006-08-28","2","2005-08-28",NA,"2004-08-28",NA
2023-08-29,NA,"2022-08-29",NA,"2021-08-29",NA,"2020-08-29",NA,"2019-08-29","-1.5","2018-08-29","0.25","2017-08-29","0","2016-08-29","8","2015-08-29",NA,"2014-08-29","20","2013-08-29","-5.25","2012-08-29",NA,"2011-08-29",NA,"2010-08-29",NA,"2009-08-29",NA,"2008-08-29","-8","2007-08-29","20","2006-08-29","1","2005-08-29","0","2004-08-29",NA
2023-08-30,NA,"2022-08-30",NA,"2021-08-30","60.25","2020-08-30",NA,"2019-08-30","-1.5","2018-08-30","0.25","2017-08-30","0","2016-08-30","8","2015-08-30",NA,"2014-08-30",NA,"2013-08-30","-5.25","2012-08-30",NA,"2011-08-30",NA,"2010-08-30","8","2009-08-30",NA,"2008-08-30",NA,"2007-08-30","17","2006-08-30","0.5","2005-08-30","0","2004-08-30","0"
2023-08-31,NA,"2022-08-31",NA,"2021-08-31","69.5","2020-08-31","12","2019-08-31",NA,"2018-08-31","3","2017-08-31","0","2016-08-31","8","2015-08-31","0","2014-08-31",NA,"2013-08-31",NA,"2012-08-31",NA,"2011-08-31",NA,"2010-08-31","-10.75","2009-08-31",NA,"2008-08-31",NA,"2007-08-31","15","2006-08-31","5","2005-08-31","0","2004-08-31","0"
2023-09-01,NA,"2022-09-01",NA,"2021-09-01","60.5","2020-09-01","13.75","2019-09-01",NA,"2018-09-01",NA,"2017-09-01","0","2016-09-01","8","2015-09-01","0","2014-09-01",NA,"2013-09-01",NA,"2012-09-01",NA,"2011-09-01",NA,"2010-09-01","4","2009-09-01",NA,"2008-09-01","-16.25","2007-09-01",NA,"2006-09-01","2","2005-09-01","0","2004-09-01","0"
2023-09-02,NA,"2022-09-02",NA,"2021-09-02","60.5","2020-09-02","13.75","2019-09-02",NA,"2018-09-02",NA,"2017-09-02",NA,"2016-09-02","8","2015-09-02","0","2014-09-02","20","2013-09-02",NA,"2012-09-02",NA,"2011-09-02",NA,"2010-09-02","0","2009-09-02",NA,"2008-09-02","-16.25","2007-09-02",NA,"2006-09-02",NA,"2005-09-02","0","2004-09-02","0"
2023-09-03,NA,"2022-09-03",NA,"2021-09-03","60.5","2020-09-03","13.75","2019-09-03","-1.5","2018-09-03",NA,"2017-09-03",NA,"2016-09-03",NA,"2015-09-03","0","2014-09-03","20","2013-09-03","-5.25","2012-09-03",NA,"2011-09-03",NA,"2010-09-03","6.25","2009-09-03",NA,"2008-09-03","-9","2007-09-03","15","2006-09-03",NA,"2005-09-03",NA,"2004-09-03","0"
2023-09-04,NA,"2022-09-04",NA,"2021-09-04",NA,"2020-09-04","18","2019-09-04","-1.5","2018-09-04","3","2017-09-04",NA,"2016-09-04",NA,"2015-09-04","0","2014-09-04","20","2013-09-04","-5.25","2012-09-04",NA,"2011-09-04",NA,"2010-09-04",NA,"2009-09-04",NA,"2008-09-04","-4","2007-09-04","15","2006-09-04","2","2005-09-04",NA,"2004-09-04",NA
2023-09-05,NA,"2022-09-05",NA,"2021-09-05",NA,"2020-09-05",NA,"2019-09-05","-1.5","2018-09-05","2.75","2017-09-05","0","2016-09-05",NA,"2015-09-05",NA,"2014-09-05","20","2013-09-05","-5.25","2012-09-05",NA,"2011-09-05",NA,"2010-09-05",NA,"2009-09-05",NA,"2008-09-05","-6","2007-09-05","14","2006-09-05","2","2005-09-05","0","2004-09-05",NA
