Date,AUG 2024,OCT 2024,DEC 2024,FEB 2025,APR 2025,MAY 2025,JUN 2025,JUL 2025,AUG 2025,OCT 2025,DEC 2025
29 Jul 2024,"-3,428",-367,642,181,18,6,244,87,6,27,0
29 Jul 2024,"-3,428",-367,642,181,18,6,244,87,6,27,0
29 Jul 2024,"-3,428",-367,642,181,18,6,244,87,6,27,0
30 Jul 2024,-452,-931,+516,+150,+138,+5,+134,+50,-25,+18,0
