Date,AUG 2024,SEP 2024,OCT 2024,DEC 2024,JAN 2025,MAR 2025,MAY 2025,JUL 2025,AUG 2025,SEP 2025,OCT 2025,DEC 2025,Market Open Interest,Change in OI
09 Aug 2024,-90,-1981,-1162,-1528,-52,-440,712,43,62,65,26,30,545688,-4315
08 Aug 2024,-36,-735,-409,-281,258,-452,765,138,56,187,78,-81,550003,-512
08 Aug 2024,-36,-735,-409,-281,258,-452,765,138,56,187,78,-81,550003,-512
08 Aug 2024,-36,-721,-409,-232,+258,-452,765,138,56,187,78,-81,550066,-449
07 Aug 2024,-167,"-2,526","+1,556","+2,382",-928,"-1,212",282,373,-43,-2,7,6,550515,-272
06 Aug 2024,-105,-471,"-1,091",-760,-638,+618,907,594,95,116,112,61,550787,-564
05 Aug 2024,-12,"-5,060",+75,"-2,847","-1,788",-161,556,389,92,99,78,-190,551351,-8769
02 Aug 2024,34,"+2,524","+1,012","+1,526",+642,"+1,355",931,295,41,173,79,94,560120,8705
01 Aug 2024,-232,"-5,305",-643,"-2,911",+103,+493,619,103,72,31,7,39,551415,-7624
