Contract 1,Contract 2,Mean,Median
ZC Dec25-May26.csv,ZC Mar26-May26.csv,1.9850000000000005,2.05
ZC Dec25-May26.csv,ZC Jul25-Mar26.csv,0.09500000000000001,0.1
ZC Dec25-May26.csv,ZC May25-Jul25.csv,0.465,0.4
ZC Dec25-May26.csv,ZC Jul25-Sep25.csv,0.12000000000000002,0.05
ZC Dec25-May26.csv,ZC May25-Mar26.csv,0.05500000000000001,0.0
ZC Dec25-May26.csv,ZC Sep25-Jul26.csv,0.11499999999999999,0.1
ZC Dec25-May26.csv,ZC Jul25-Dec25.csv,0.07,0.0
ZC Dec25-May26.csv,ZC Mar25-Dec25.csv,0.04,0.0
ZC Dec25-May26.csv,ZC Mar25-May25.csv,0.4999999999999999,0.45
ZC Dec25-May26.csv,ZC Mar25-Jul25.csv,0.23500000000000001,0.2
ZC Dec25-May26.csv,ZC Dec25-Jul26.csv,0.25500000000000006,0.25
ZC Dec25-May26.csv,ZC Sep25-Dec25.csv,0.18,0.1
ZC Dec25-May26.csv,ZC Dec25-Mar26.csv,1.0550000000000002,1.05
ZC Dec25-May26.csv,ZC Jul25-May26.csv,0.205,0.15000000000000002
ZC Dec25-May26.csv,ZC Mar25-Sep25.csv,0.04,0.0
ZC Dec25-May26.csv,ZC May26-Jul26.csv,1.445,1.4500000000000002
ZC Dec25-May26.csv,ZC Sep25-Mar26.csv,0.4250000000000001,0.5
ZC Dec25-May26.csv,ZC Sep25-May26.csv,0.4,0.4
ZC Dec25-May26.csv,ZC May25-Sep25.csv,0.09,0.0
ZC Dec25-May26.csv,ZC May25-Dec25.csv,0.05,0.0
ZC Mar26-May26.csv,ZC Jul25-Mar26.csv,0.04,0.0
ZC Mar26-May26.csv,ZC May25-Jul25.csv,0.23500000000000004,0.15000000000000002
ZC Mar26-May26.csv,ZC Jul25-Sep25.csv,0.06,0.0
ZC Mar26-May26.csv,ZC May25-Mar26.csv,0.02,0.0
ZC Mar26-May26.csv,ZC Sep25-Jul26.csv,0.045,0.0
ZC Mar26-May26.csv,ZC Jul25-Dec25.csv,0.03,0.0
ZC Mar26-May26.csv,ZC Mar25-Dec25.csv,0.01,0.0
ZC Mar26-May26.csv,ZC Mar25-May25.csv,0.20500000000000002,0.1
ZC Mar26-May26.csv,ZC Mar25-Jul25.csv,0.12500000000000003,0.1
ZC Mar26-May26.csv,ZC Dec25-Jul26.csv,0.13000000000000003,0.15000000000000002
ZC Mar26-May26.csv,ZC Sep25-Dec25.csv,0.075,0.0
