Contract1,Contract2,Best,Average,Best Month,January,February,March,April,May,June,July,August,September,October,November,December
ZS Jan26-Jul26,ZS Aug25-Sep25,0.17,0.11,November,0.11,,0.12,0.06,0.08,0.09,0.08,,,0.13,0.17,0.17
ZS Jan26-Jul26,ZS Jul25-Nov25,0.09,0.06,September,0.08,0.07,0.07,0.07,0.06,0.05,0.08,,0.09,,0.03,0.05
ZS Jan26-Jul26,ZS Jan26-May26,0.08,0.06,June,,0.06,0.06,0.05,0.04,0.08,0.06,0.07,0.07,0.04,,
ZS Jan26-Jul26,ZS Nov25-Jul26,0.06,0.04,March,0.04,,0.06,0.03,0.04,0.04,0.03,,,0.04,0.04,
ZS Jan26-Jul26,ZS Nov25-Jan26,0.09,0.05,February,0.07,0.09,0.04,0.03,0.04,0.07,0.04,,,0.04,0.02,0.03
ZS Jan26-Jul26,ZS May26-Jul26,0.07,0.04,July,,0.04,0.04,0.02,0.04,0.03,0.07,0.06,0.04,0.04,0.04,
ZS Jan26-Jul26,ZS Mar26-May26,0.05,0.04,April,,0.03,0.04,0.05,0.03,,,,0.04,0.03,,
ZS Jan26-Jul26,ZS Jul26-Aug26,0.09,0.07,March,0.06,,0.09,0.06,,0.08,0.08,0.07,0.08,0.05,0.03,0.06
ZS Jan26-Jul26,ZS Jul25-Aug25,0.1,0.06,July,0.06,,0.05,0.08,,0.05,0.1,0.07,0.06,0.05,0.05,0.04
ZS Jan26-Jul26,ZS Sep25-Nov25,0.09,0.06,March,0.07,0.06,0.09,0.06,0.08,0.04,0.03,0.03,,0.04,0.06,0.07
ZS Jan26-Jul26,ZS May25-Jul25,0.06,0.04,July,,0.04,0.04,0.04,0.04,0.04,0.06,0.05,0.05,0.04,0.03,
ZS Jan26-Jul26,ZS Nov25-May26,0.05,0.04,August,0.04,0.04,0.05,0.03,0.03,0.04,0.04,0.05,0.05,0.02,0.03,0.05
ZS Jan26-Jul26,ZS Jan26-Mar26,0.08,0.06,April,0.03,,0.05,0.08,0.07,0.04,0.07,0.07,,,,
ZS Aug25-Sep25,ZS Jul25-Nov25,0.09,0.05,July,,,,0.07,0.05,0.05,0.09,0.03,,,0.03,
ZS Aug25-Sep25,ZS Jan26-May26,0.09,0.06,May,,,0.05,0.06,0.09,0.06,0.04,0.04,0.05,0.09,,
ZS Aug25-Sep25,ZS Nov25-Jul26,0.06,0.06,October,,,,,,,0.06,,,0.06,,
ZS Aug25-Sep25,ZS Nov25-Jan26,0.21,0.16,February,0.21,0.21,0.16,,0.16,,0.13,,,0.11,,
ZS Aug25-Sep25,ZS May26-Jul26,0.23,0.13,July,0.1,,,,0.05,0.19,0.23,0.16,0.11,0.07,,0.17
ZS Aug25-Sep25,ZS Mar26-May26,0.08,0.06,October,,,0.05,,0.06,0.04,0.06,,0.07,0.08,,
ZS Aug25-Sep25,ZS Jul26-Aug26,0.11,0.08,September,,,,,,,0.06,,0.11,0.06,,
ZS Aug25-Sep25,ZS Jul25-Aug25,0.1,0.08,September,,,,,,,0.05,,0.1,0.08,,
ZS Aug25-Sep25,ZS Sep25-Nov25,0.05,0.04,November,,,,0.05,0.04,,0.05,0.03,,,0.05,
ZS Aug25-Sep25,ZS May25-Jul25,0.27,0.16,July,,,,,,0.23,0.27,0.15,0.08,0.07,,0.17
ZS Aug25-Sep25,ZS Nov25-May26,0.09,0.06,April,0.05,,0.05,0.09,0.05,0.06,0.06,0.06,0.08,0.08,,0.03
ZS Aug25-Sep25,ZS Jan26-Mar26,0.07,0.05,April,,,,0.07,0.07,0.05,0.06,0.04,,0.04,,
ZS Jul25-Nov25,ZS Jan26-May26,0.12,0.06,February,0.06,0.12,0.05,0.06,0.08,0.04,0.09,0.05,,0.04,0.05,
ZS Jul25-Nov25,ZS Nov25-Jul26,0.09,0.06,February,,0.09,0.05,0.07,0.05,0.05,0.09,0.03,0.04,0.04,0.05,
ZS Jul25-Nov25,ZS Nov25-Jan26,0.21,0.09,February,0.08,0.21,0.06,0.08,0.12,0.09,0.08,,0.1,0.08,0.07,0.06
ZS Jul25-Nov25,ZS May26-Jul26,0.18,0.09,July,0.07,0.06,0.04,0.06,0.07,0.15,0.18,0.05,,,0.11,0.08
ZS Jul25-Nov25,ZS Mar26-May26,0.12,0.06,July,0.04,0.05,0.06,0.05,0.08,0.05,0.12,0.07,0.06,0.04,0.03,0.04
ZS Jul25-Nov25,ZS Jul26-Aug26,0.09,0.04,April,0.03,,,0.09,0.03,0.02,0.04,0.05,0.03,0.04,0.05,
ZS Jul25-Nov25,ZS Jul25-Aug25,0.06,0.04,July,,,,0.04,0.03,0.04,0.06,0.04,0.03,0.04,,
ZS Jul25-Nov25,ZS Sep25-Nov25,0.06,0.04,December,,,,0.03,0.03,0.02,0.04,0.03,0.04,0.03,0.04,0.06
ZS Jul25-Nov25,ZS May25-Jul25,0.24,0.1,July,,0.08,0.04,0.06,0.05,0.15,0.24,,,,,
