Contract 1,Contract 2,Mean,Median
ZL Jan26-Jul26.csv,ZL Jan26-May26.csv,0.5850000000000001,0.6000000000000001
ZL Jan26-Jul26.csv,ZL Jul25-Dec25.csv,0.4600000000000001,0.30000000000000004
ZL Jan26-Jul26.csv,ZL Jul25-Oct25.csv,0.4600000000000001,0.30000000000000004
ZL Jan26-Jul26.csv,ZL Oct25-Mar26.csv,0.905,0.95
ZL Jan26-Jul26.csv,ZL May25-Oct25.csv,0.3400000000000001,0.30000000000000004
ZL Jan26-Jul26.csv,ZL Mar25-Aug25.csv,0.40499999999999997,0.2
ZL Jan26-Jul26.csv,ZL Sep25-Oct25.csv,1.1800000000000002,0.8500000000000001
ZL Jan26-Jul26.csv,ZL Mar25-Jul25.csv,0.4950000000000001,0.25
ZL Jan26-Jul26.csv,ZL Aug25-Oct25.csv,0.6900000000000002,0.30000000000000004
ZL Jan26-Jul26.csv,ZL Aug25-Jan26.csv,0.445,0.4
ZL Jan26-Jul26.csv,ZL Mar25-Sep25.csv,0.33999999999999997,0.15000000000000002
ZL Jan26-Jul26.csv,ZL Oct25-Jan26.csv,1.0950000000000002,1.05
ZL Jan26-Jul26.csv,ZL Jul25-Sep25.csv,0.665,0.45
ZL Jan26-Jul26.csv,ZL Oct25-Dec25.csv,1.21,1.1
ZL Jan26-Jul26.csv,ZL Oct25-May26.csv,0.38499999999999995,0.35000000000000003
ZL Jan26-Jul26.csv,ZL Jan26-Mar26.csv,2.4999999999999996,2.55
ZL Jan26-Jul26.csv,ZL Aug25-Sep25.csv,1.405,0.6000000000000001
ZL Jan26-Jul26.csv,ZL Dec25-May26.csv,0.43,0.45
ZL Jan26-Jul26.csv,ZL Aug25-Dec25.csv,0.375,0.2
ZL Jan26-Jul26.csv,ZL Sep25-Jan26.csv,0.7,0.6500000000000001
ZL Jan26-Jul26.csv,ZL May25-Aug25.csv,0.6700000000000002,0.55
ZL Jan26-Jul26.csv,ZL May25-Sep25.csv,0.4600000000000001,0.4
ZL Jan26-Jul26.csv,ZL Dec25-Jul26.csv,0.32,0.2
ZL Jan26-Jul26.csv,ZL Dec25-Jan26.csv,2.27,1.75
