Contract 1,Contract 2,Mean,Median
ZS Jan26-Jul26.csv,ZS Aug25-Sep25.csv,0.71,0.55
ZS Jan26-Jul26.csv,ZS Jul25-Nov25.csv,0.27,0.2
ZS Jan26-Jul26.csv,ZS Jan26-May26.csv,1.025,1.1
ZS Jan26-Jul26.csv,ZS Nov25-Jul26.csv,0.335,0.35000000000000003
ZS Jan26-Jul26.csv,ZS Nov25-Jan26.csv,3.54,3.1
ZS Jan26-Jul26.csv,ZS May26-Jul26.csv,3.375000000000001,3.05
ZS Jan26-Jul26.csv,ZS Mar26-May26.csv,2.22,2.25
ZS Jan26-Jul26.csv,ZS Jul26-Aug26.csv,1.9649999999999994,2.2
ZS Jan26-Jul26.csv,ZS Jul25-Aug25.csv,1.01,0.6000000000000001
ZS Jan26-Jul26.csv,ZS Sep25-Nov25.csv,0.885,0.65
ZS Jan26-Jul26.csv,ZS May25-Jul25.csv,0.7550000000000001,0.45000000000000007
ZS Jan26-Jul26.csv,ZS Nov25-May26.csv,0.7799999999999999,0.8
ZS Jan26-Jul26.csv,ZS Jan26-Mar26.csv,2.065,2.05
ZS Aug25-Sep25.csv,ZS Jul25-Nov25.csv,0.4050000000000001,0.4
ZS Aug25-Sep25.csv,ZS Jan26-May26.csv,0.32,0.25
ZS Aug25-Sep25.csv,ZS Nov25-Jul26.csv,0.375,0.30000000000000004
ZS Aug25-Sep25.csv,ZS Nov25-Jan26.csv,1.27,0.55
ZS Aug25-Sep25.csv,ZS May26-Jul26.csv,1.3199999999999998,1.0
ZS Aug25-Sep25.csv,ZS Mar26-May26.csv,0.6850000000000002,0.6500000000000001
ZS Aug25-Sep25.csv,ZS Jul26-Aug26.csv,1.1350000000000002,1.05
ZS Aug25-Sep25.csv,ZS Jul25-Aug25.csv,1.28,1.2000000000000002
ZS Aug25-Sep25.csv,ZS Sep25-Nov25.csv,1.0100000000000002,1.0
ZS Aug25-Sep25.csv,ZS May25-Jul25.csv,1.7,1.6500000000000001
ZS Aug25-Sep25.csv,ZS Nov25-May26.csv,0.24000000000000005,0.15000000000000002
ZS Aug25-Sep25.csv,ZS Jan26-Mar26.csv,0.6500000000000001,0.30000000000000004
ZS Jul25-Nov25.csv,ZS Jan26-May26.csv,0.8100000000000002,0.6000000000000001
ZS Jul25-Nov25.csv,ZS Nov25-Jul26.csv,0.9,0.7000000000000001
ZS Jul25-Nov25.csv,ZS Nov25-Jan26.csv,2.555,1.9500000000000002
ZS Jul25-Nov25.csv,ZS May26-Jul26.csv,3.0,1.9000000000000001
ZS Jul25-Nov25.csv,ZS Mar26-May26.csv,1.7100000000000002,1.15
ZS Jul25-Nov25.csv,ZS Jul26-Aug26.csv,2.3850000000000002,2.0
